Method,nodes,Perc wl,repetitions,F score / Acc,Time,F score / Acc (no profile),Seeds,total nodes
IS,100,5,10,"[0.6249272801639582, 0.6151600141292101, 0.6100982608521771, 0.6256434513585917, 0.6147738732215279, 0.6133520753210212, 0.609777374301478, 0.6262469918073466, 0.617824136572949, 0.6143354643368959]","[12.26675009727478, 12.228252172470093, 12.277473211288452, 12.207214593887329, 12.278725862503052, 12.344851970672607, 12.272033929824829, 12.302936553955078, 12.250976085662842, 12.28044843673706]","[0.23302008032128277, 0.2192210857592429, 0.21779967159277633, 0.23537170263789145, 0.21043265306122255, 0.20902766135792114, 0.2100081168831139, 0.21244462674323436, 0.2160574620909779, 0.22791700569568718]","[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",1897
IS,100,5,10,"[0.6249272801639582, 0.6151600141292101, 0.6100982608521771, 0.6256434513585917, 0.6147738732215279, 0.6133520753210212, 0.609777374301478, 0.6262469918073466, 0.617824136572949, 0.6143354643368959]","[13.013741254806519, 12.946071147918701, 13.044212341308594, 12.957263946533203, 13.035308361053467, 13.088818311691284, 13.020054578781128, 13.042030572891235, 13.006088018417358, 13.041637659072876]","[0.20923694779116647, 0.23731707317073097, 0.1916995073891633, 0.21368505195843188, 0.2473142857142838, 0.21321039396479785, 0.22863636363636347, 0.1975471698113244, 0.19755786113328222, 0.2600813669650131]",,9486
IS,100,5,10,"[0.6249272801639582, 0.6151600141292101, 0.6100982608521771, 0.6256434513585917, 0.6147738732215279, 0.6133520753210212, 0.609777374301478, 0.6262469918073466, 0.617824136572949, 0.6143354643368959]","[14.952697992324829, 14.910247087478638, 15.027859687805176, 14.912941455841064, 15.009038925170898, 15.044886350631714, 14.980095863342285, 15.02962064743042, 14.983507871627808, 14.987102031707764]","[0.2205622489959839, 0.223414634146341, 0.2089983579638778, 0.22930455635491767, 0.22026938775510624, 0.22926236378876866, 0.21469967532467804, 0.20323215750615467, 0.20941739824421748, 0.22154597233523146]",,37940
IS,100,5,10,"[0.6249272801639582, 0.6151600141292101, 0.6100982608521771, 0.6256434513585917, 0.6147738732215279, 0.6133520753210212, 0.609777374301478, 0.6262469918073466, 0.617824136572949, 0.6143354643368959]","[20.473746061325073, 20.430399656295776, 20.53083610534668, 20.445544958114624, 20.5424861907959, 20.566250324249268, 20.490257740020752, 20.53694224357605, 20.47921586036682, 20.4552743434906]","[0.23389558232932028, 0.22113296616837172, 0.21838259441707839, 0.22300559552357843, 0.20148571428571857, 0.2139312657166812, 0.20840909090908916, 0.20588187038556144, 0.2609656823623287, 0.2086818551668042]",,113820
IS,100,5,10,"[0.6249272801639582, 0.6151600141292101, 0.6100982608521771, 0.6256434513585917, 0.6147738732215279, 0.6133520753210212, 0.609777374301478, 0.6262469918073466, 0.617824136572949, 0.6143354643368959]","[25.973214864730835, 25.890077829360962, 26.04112958908081, 25.905877351760864, 26.026375770568848, 26.09185218811035, 25.942569255828857, 26.023022651672363, 25.938082218170166, 25.933684587478638]","[0.20614457831324928, 0.21003933910306558, 0.23137110016420562, 0.21805755395683374, 0.20269387755102203, 0.21979882648784294, 0.20123376623376338, 0.20059064807218754, 0.2171588188347921, 0.23008136696501053]",,189700
RS,100,5,10,"[0.2528445689137971, 0.2488037607521562, 0.24984593837534178, 0.25799799999999723, 0.2438355342136857, 0.23852000000000995, 0.24186000000000968, 0.2420464092818496, 0.24559623849539602, 0.26039815926370946]","[5.671156406402588, 5.67527437210083, 5.666069507598877, 5.667770624160767, 5.66617226600647, 5.663636684417725, 5.664443016052246, 5.66247820854187, 5.668774604797363, 5.600554943084717]",,,1897
RS,100,5,10,"[0.2411682336467175, 0.2614102820564082, 0.22828731492597512, 0.24063600000000143, 0.2679691876750756, 0.2478579999999925, 0.2563119999999984, 0.24595919183837672, 0.2320608243297372, 0.2671228491396419]","[6.2217864990234375, 6.235201835632324, 6.227007150650024, 6.217347621917725, 6.241431951522827, 6.237527370452881, 6.208381414413452, 6.228564023971558, 6.21279239654541, 6.23332142829895]",,,9486
RS,100,5,10,"[0.2481016203240624, 0.24579315863172527, 0.2433193277310892, 0.2510660000000008, 0.24714885954381713, 0.2533260000000067, 0.2502679999999924, 0.24759751950389763, 0.24134453781511309, 0.2475730292116815]","[8.09561538696289, 8.098059177398682, 8.072458982467651, 8.113876342773438, 8.108930349349976, 8.099328517913818, 8.080569505691528, 8.106646299362183, 8.122873306274414, 8.09725308418274]",,,37940
RS,100,5,10,"[0.2599799959991953, 0.24626725345070277, 0.2516926770708173, 0.2546060000000059, 0.23529211684672482, 0.23116000000000222, 0.234352000000003, 0.24090018003600516, 0.2786294517807134, 0.23913565426169883]","[13.114534616470337, 13.08934211730957, 13.128849506378174, 13.084831714630127, 13.121534585952759, 13.089228391647339, 13.073403120040894, 13.123563766479492, 13.104939222335815, 13.136998891830444]",,,113820
RS,100,5,10,"[0.23224044808961974, 0.2373054610922295, 0.25208483393357267, 0.23878999999999723, 0.24253701480591927, 0.24575200000001068, 0.2282200000000019, 0.22921984396879178, 0.24794717887155732, 0.25413565426170337]","[18.821313619613647, 18.83922505378723, 18.871572256088257, 18.813069343566895, 18.820508003234863, 18.798853635787964, 18.81647539138794, 18.817290782928467, 18.829734325408936, 18.789924144744873]",,,189700
RR,100,5,10,"[0.2475192860354257, 0.24471135811320696, 0.2439144370619529, 0.24945647524752507, 0.2484489241241056, 0.24362063366336642, 0.24564639603960423, 0.24850993961168436, 0.2468541475996345, 0.24789963510156515]","[4.582070589065552, 4.576067209243774, 4.582237005233765, 4.5688066482543945, 4.575088024139404, 4.568948984146118, 4.5683112144470215, 4.572773218154907, 4.576805830001831, 4.58070182800293]",,,1897
RR,100,5,10,"[0.24857121919433506, 0.2456602607650252, 0.24466543052864753, 0.24905073267326802, 0.2467573564079099, 0.24403633663366403, 0.24493956435643632, 0.24805030312993345, 0.2477297849833, 0.248405025376487]","[4.5595526695251465, 4.548341989517212, 4.5566229820251465, 4.551710367202759, 4.551412343978882, 4.553076505661011, 4.544109582901001, 4.547267436981201, 4.546531677246094, 4.553598165512085]",,,9486
RR,100,5,10,"[0.24787199023963208, 0.24509581124145677, 0.2440671912329295, 0.24887253465346584, 0.247654764876248, 0.24408392079207952, 0.24559902970297057, 0.24758690351931792, 0.24752580240016817, 0.24720644693521043]","[4.496353387832642, 4.496238708496094, 4.493822336196899, 4.48539924621582, 4.496098041534424, 4.48975682258606, 4.4909539222717285, 4.491364479064941, 4.4977803230285645, 4.494019508361816]",,,37940
RR,100,5,10,"[0.24844374815557158, 0.24505495158437623, 0.2438757681290337, 0.24927920792079195, 0.24831120567038711, 0.24297623762376247, 0.24574257425742543, 0.24862992400460232, 0.24659764896057437, 0.2481943272358443]","[4.48517632484436, 4.4762351512908936, 4.4839255809783936, 4.47549843788147, 4.482219219207764, 4.475156545639038, 4.478416919708252, 4.481691360473633, 4.474026441574097, 4.480915069580078]",,,113820
RR,100,5,10,"[0.2481254666774938, 0.24454312644707152, 0.24513484601761504, 0.24895164356435626, 0.248300468702333, 0.24372756435643522, 0.24651376237623696, 0.24794348968803712, 0.24753162651199045, 0.24767788303440139]","[4.427429914474487, 4.411036729812622, 4.4262495040893555, 4.4281182289123535, 4.420617580413818, 4.416407346725464, 4.414193630218506, 4.424712181091309, 4.420992136001587, 4.421641826629639]",,,189700
LR,100,5,10,"[0.2483856771354251, 0.24344868973794853, 0.24705682272908855, 0.2433740000000049, 0.23772108843537776, 0.24349199999999674, 0.25311399999999623, 0.2433086617323506, 0.23977190876349322, 0.2436114445778293]","[17.12289786338806, 17.2322359085083, 17.368796348571777, 17.27588963508606, 17.231431007385254, 17.349953413009644, 17.149778842926025, 17.233378648757935, 17.16659450531006, 17.23559260368347]",,,1897
LR,100,5,10,"[0.25179235847168646, 0.24421084216843203, 0.2516986794717892, 0.24720400000000955, 0.23853341336534897, 0.2447159999999958, 0.2518260000000058, 0.24601720344069053, 0.23658063225290435, 0.23843537414966498]","[18.137033939361572, 18.129152059555054, 18.121765851974487, 18.386101245880127, 18.172202348709106, 17.95942497253418, 17.91328263282776, 17.898829698562622, 17.8735032081604, 17.903663873672485]",,,9486
LR,100,5,10,"[0.25858771754350657, 0.24125625125024014, 0.2529571828731626, 0.24956400000000872, 0.23786114445777354, 0.2582800000000028, 0.2601060000000039, 0.2461872374474914, 0.2385434173669379, 0.24970188075230643]","[25.6421160697937, 25.42876696586609, 25.15274214744568, 25.164841175079346, 25.22802186012268, 25.20213794708252, 25.193451642990112, 25.215176343917847, 25.209258317947388, 25.294703245162964]",,,37940
LR,100,5,10,"[0.261588317663531, 0.24099419883975418, 0.2529771908763621, 0.2511540000000068, 0.2387434973989502, 0.26078600000000135, 0.2630700000000039, 0.24629325865173213, 0.23856342537014621, 0.24986594637855672]","[34.78768706321716, 34.82620644569397, 34.58637762069702, 34.09861874580383, 34.35789608955383, 34.24679780006409, 34.138973236083984, 33.8012855052948, 33.82234740257263, 33.81190228462219]",,,113820
LR,100,5,10,"[0.2615583116623305, 0.24196039207840184, 0.2524209683873498, 0.2519740000000064, 0.2392657062824948, 0.2632460000000004, 0.2639799999999949, 0.24623524704941158, 0.23848339335734123, 0.24998799519808443]","[44.04502606391907, 44.05227756500244, 44.1929235458374, 44.90416502952576, 44.49977517127991, 45.59926986694336, 44.35748839378357, 44.501521825790405, 44.30979323387146, 44.761446475982666]",,,189700
